Received_Date,Feedback,Display_fb,Overall_fb_pos,Overall_fb_neu,Overall_fb_neg,Overall_fb_comp,Overall_fb,General_food_comp,General_food_fb,Pizza_comp,Pizza_fb,Sausage_comp,Sausage_fb,Egg_comp,Egg_fb,Environment_comp,Environment_fb,Service_comp,Service_fb,Price_comp,Price_fb,Facilities_comp,Facilities_fb
01/07/2022,The food was good.,"""The food was good.""",0.492,0.508,0.0,0.4404,Positive,0.4404,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
01/07/2022,The food was bad,"""The food was bad""",0.0,0.462,0.538,-0.5423,Negative,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
01/07/2022,The pizza was great,"""The pizza was great""",0.577,0.423,0.0,0.6249,Positive,0.0,Neutral,0.6249,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
02/07/2022,The sausage was good but the egg was bad.,"""The sausage was good but the egg was bad.""",0.142,0.511,0.347,-0.5859,Negative,0.0,Neutral,0.0,Neutral,0.4404,Positive,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
04/07/2022,The potato was really bad. The room was too loud.,"""The potato was really bad. The room was too loud.""",0.0,0.704,0.296,-0.5849,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
04/07/2022,The pizza was bad.,"""The pizza was bad.""",0.0,0.462,0.538,-0.5423,Negative,0.0,Neutral,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,The pizza was ok. The sausage was bad.,"""The pizza was ok. The sausage was bad.""",0.0,0.667,0.333,-0.5423,Negative,0.0,Neutral,0.296,Positive,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,It was too quiet.,"""It was too quiet.""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,I didn't like the colour of the walls.,"""I didn't like the colour of the walls.""",0.0,0.768,0.232,-0.2755,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,The person next to me was rude but the food was good.,"""The person next to me was rude but the food was good.""",0.243,0.631,0.126,0.431,Positive,0.4404,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
05/07/2022,I hate the food. It was bloody awful.,"""I hate the food. It was bloody awful.""",0.0,0.342,0.658,-0.8625,Negative,-0.5719,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
06/07/2022,Fuck this place. The service is a joke.,"""**** this place. The service is a joke.""",0.188,0.513,0.299,-0.3182,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.296,Positive,0.0,Neutral,0.0,Neutral
06/07/2022,Why was the sausage burnt??! Was was service so slow??,"""Why was the sausage burnt??! Was was service so slow??""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
07/07/2022,At first it was ok but then it took way too long to be served,"""At first it was ok but then it took way too long to be served""",0.103,0.897,0.0,0.1531,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
07/07/2022,I love sausage. I love beans. I love pizza.,"""I love sausage. I love beans. I love pizza.""",0.677,0.323,0.0,0.9274,Positive,0.0,Neutral,0.6369,Positive,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
07/07/2022,The whole restaurant had a bad smell!!,"""The whole restaurant had a bad smell!!""",0.0,0.595,0.405,-0.6229,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral
07/07/2022,I lost my shoe why didn't you help me find it?,"""I lost my shoe why didn't you help me find it?""",0.0,0.664,0.336,-0.5511,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
07/07/2022,SHIT,"""****""",0.0,0.0,1.0,-0.5574,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
07/07/2022,bloddy terrible!! Never coming back here again!,"""bloddy terrible!! Never coming back here again!""",0.0,0.601,0.399,-0.6093,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
08/07/2022,Daylight robery!,"""Daylight robery!""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
09/07/2022,cheap place to drink cheap place to eat,"""cheap place to drink cheap place to eat""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
11/07/2022,food was average,"""food was average""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
11/07/2022,didn’t expect much didn't get much,"""didn’t expect much didn't get much""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
12/07/2022,I hate this place worst meal ever,"""I hate this place worst meal ever""",0.0,0.391,0.609,-0.8316,Negative,-0.8316,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
12/07/2022,piece of shit,"""piece of ****""",0.0,0.357,0.643,-0.5574,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
12/07/2022,what time do you open?,"""what time do you open?""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
12/07/2022,why is it always closed,"""why is it always closed""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
12/07/2022,I love this place,"""I love this place""",0.583,0.417,0.0,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
13/07/2022,worst pizza ever,"""worst pizza ever""",0.0,0.328,0.672,-0.6249,Negative,0.0,Neutral,-0.6249,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
13/07/2022,best sausage ever,"""best sausage ever""",0.677,0.323,0.0,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
13/07/2022,best pizza ever,"""best pizza ever""",0.677,0.323,0.0,0.6369,Positive,0.0,Neutral,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
14/07/2022,service was really bad. But the food was okay I guess,"""service was really bad. But the food was okay I guess""",0.171,0.655,0.174,-0.012,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,-0.5849,Negative,0.0,Neutral,0.0,Neutral
14/07/2022,mixed experience. Overall it was ok but the food was bad,"""mixed experience. Overall it was ok but the food was bad""",0.104,0.586,0.309,-0.631,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
15/07/2022,great when its quiet bad when it's not,"""great when its quiet bad when it's not""",0.301,0.441,0.257,0.1531,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
16/07/2022,decent and cheap,"""decent and cheap""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
17/07/2022,nice building friendly staff ok food,"""nice building friendly staff ok food""",0.732,0.268,0.0,0.802,Positive,0.802,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.802,Positive,0.802,Positive,0.0,Neutral,0.0,Neutral
18/07/2022,Staff good. Food bad.,"""Staff good. Food bad.""",0.345,0.238,0.417,-0.1531,Negative,-0.5423,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.4404,Positive,0.0,Neutral,0.0,Neutral
18/07/2022,Took over an hour to get served. When the food finally arrived it was cold and shit.,"""Took over an hour to get served. When the food finally arrived it was cold and ****.""",0.0,0.816,0.184,-0.5574,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
18/07/2022,really really poor,"""really really poor""",0.0,0.353,0.647,-0.5678,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
18/07/2022,really really great!!,"""really really great!!""",0.724,0.276,0.0,0.7396,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
19/07/2022,I LOVE THIS PIZZA,"""I LOVE THIS PIZZA""",0.583,0.417,0.0,0.6369,Positive,0.0,Neutral,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
20/07/2022,This is my favourite pizza shop in town. I feel relaxed when I come here. Very friendly staff. Two thumbs up!,"""This is my favourite pizza shop in town. I feel relaxed when I come here. Very friendly staff. Two thumbs up!""",0.269,0.731,0.0,0.7897,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.5413,Positive,0.0,Neutral,0.0,Neutral
21/07/2022,food came quick but it was bad,"""food came quick but it was bad""",0.0,0.558,0.442,-0.6956,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
22/07/2022,toilets were too far away and no toilet paper,"""toilets were too far away and no toilet paper""",0.0,0.784,0.216,-0.296,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
23/07/2022,didn't feel safe,"""didn't feel safe""",0.0,0.454,0.546,-0.3412,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
24/07/2022,creepy guy on next table and staff did nothing,"""creepy guy on next table and staff did nothing""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
25/07/2022,nice egg nice sausage bad toast way too burnt,"""nice egg nice sausage bad toast way too burnt""",0.371,0.397,0.232,0.2732,Positive,0.0,Neutral,0.0,Neutral,0.2732,Positive,0.2732,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
25/07/2022,not bad,"""not bad""",0.74,0.26,0.0,0.431,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
25/07/2022,very nice,"""very nice""",0.756,0.244,0.0,0.4754,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
26/07/2022,RUDE STAFF!!,"""RUDE STAFF!!""",0.0,0.218,0.782,-0.555,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,-0.4588,Negative,0.0,Neutral,0.0,Neutral
27/07/2022,never coming back,"""never coming back""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
27/07/2022,will comeback,"""will comeback""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
27/07/2022,ok,"""ok""",1.0,0.0,0.0,0.296,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
28/07/2022,this is was the worst breakfast ever,"""this is was the worst breakfast ever""",0.0,0.594,0.406,-0.6249,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
29/07/2022,this was the best brekafast ever,"""this was the best brekafast ever""",0.457,0.543,0.0,0.6369,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
30/07/2022,dirty. Drab. People sitting outside smoking,"""dirty. Drab. People sitting outside smoking""",0.0,0.633,0.367,-0.4404,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,-0.4404,Negative,0.0,Neutral,0.0,Neutral,0.0,Neutral
31/07/2022,filthy,"""filthy""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
31/07/2022,really clean and nice,"""really clean and nice""",0.752,0.248,0.0,0.7233,Positive,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
31/07/2022,where  is my sausage I ordered a suagesage!,"""where  is my sausage I ordered a suagesage!""",0.0,1.0,0.0,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral,0.0,Neutral
